Known As,Full Name,Overall,Latest Award,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Full Image,Age,Height(in cm),Weight(in kg),Club Name,Wage(in Euro),Release Clause,Club Position,Preferred Foot,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Penalties
C. Odenthal,Cas Odenthal,67,,2100000,CB,CB,Netherlands,https://cdn.sofifa.net/players/262/474/23_60.png,,21,190,79,Como,950,3800000,RES,Right,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium,61,32,54,49
M. Kana,Marco Kana,67,,2100000,"CB,CDM,CM",CDM,Belgium,https://cdn.sofifa.net/players/252/489/23_60.png,,19,182,79,RSC Anderlecht,4000,3600000,SUB,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,Medium,69,32,65,31
E. Caprile,Elia Caprile,67,,2100000,GK,GK,Italy,https://cdn.sofifa.net/players/255/303/23_60.png,,20,191,73,Bari,900,4600000,GK,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,66,67,69,18
Alexsandro Ribeiro,Alexsandro de Souza Ribeiro,67,,2100000,CB,CB,Brazil,https://cdn.sofifa.net/players/269/493/23_60.png,,22,189,82,LOSC Lille,8000,4400000,SUB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,63,30,48,44
Saúl Coco,Saúl Basilio Coco Bassey Oubiña,67,,2100000,CB,CB,Equatorial Guinea,https://cdn.sofifa.net/players/265/650/23_60.png,,23,188,76,Unión Deportiva Las Palmas,3000,3800000,SUB,Right,-,-,-,-,Medium,Medium,69,33,46,51
J. Tolkin,John Tolkin,67,,2100000,"LB,LWB,LM",LWB,United States,https://cdn.sofifa.net/players/251/834/23_60.png,,19,170,61,New York Red Bulls,1000,3600000,LB,Left,-,https://cdn.sofifa.net/flags/us.png,-,-,High,High,80,47,60,40
E. Ferigra,Erick Ferigra,67,,2100000,CB,CB,Ecuador,https://cdn.sofifa.net/players/245/689/23_60.png,,23,180,74,FC Paços de Ferreira,3000,4800000,SUB,Right,-,https://cdn.sofifa.net/flags/ec.png,-,-,Low,Medium,69,33,48,41
F. Álvarez,Francisco Álvarez,67,,2100000,CB,CB,Argentina,https://cdn.sofifa.net/players/242/569/23_60.png,,22,180,74,Patronato,4000,0,CB,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,62,31,43,46
D. Proper,Dirk Proper,67,,2100000,"CDM,CM",CDM,Netherlands,https://cdn.sofifa.net/players/262/334/23_60.png,,20,168,63,N.E.C. Nijmegen,3000,3600000,CM,Right,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium,75,49,60,39
W. Pacho,William Pacho,67,,2100000,CB,CB,Ecuador,https://cdn.sofifa.net/players/256/196/23_60.png,,20,186,81,Royal Antwerp FC,5000,3600000,CB,Right,-,https://cdn.sofifa.net/flags/ec.png,-,-,Low,Medium,80,32,50,36
E. Pletinckx,Ewoud Pletinckx,67,,2100000,CB,CB,Belgium,https://cdn.sofifa.net/players/246/157/23_60.png,,21,190,87,Oud-Heverlee Leuven,3000,3600000,CB,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,High,53,29,44,34
B. Lambert,Boris Lambert,67,,2100000,"CB,CDM,CM",CB,Belgium,https://cdn.sofifa.net/players/251/539/23_60.png,,22,187,67,KAS Eupen,4000,3500000,CB,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,Medium,52,39,57,37
A. Ferro,Andrés Ferro,67,,2100000,CB,CB,Venezuela,https://cdn.sofifa.net/players/253/796/23_60.png,,21,183,75,Metropolitanos de Caracas FC,500,4900000,CB,Right,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,High,65,38,55,35
L. McNally,Luke McNally,67,,2100000,CB,CB,Republic of Ireland,https://cdn.sofifa.net/players/247/395/23_60.png,,22,193,86,Burnley,11000,4400000,RES,Right,-,-,-,-,Medium,Medium,51,35,47,43
Z. Medley,Zech Medley,67,,2100000,"CB,LB",CB,England,https://cdn.sofifa.net/players/240/334/23_60.png,,21,195,90,KV Oostende,3000,3500000,SUB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,67,30,45,43
Berrocal,Juan Berrocal González,67,,2100000,CB,CB,Spain,https://cdn.sofifa.net/players/240/859/23_60.png,,22,187,72,SD Eibar,3000,3800000,CB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Low,Medium,60,38,49,49
P. Hristov,Petko Hristov,67,,2100000,CB,CB,Bulgaria,https://cdn.sofifa.net/players/239/998/23_60.png,,23,191,85,Spezia,5000,4200000,SUB,Right,-,-,-,-,Medium,High,40,31,41,46
A. Vogliacco,Alessandro Vogliacco,67,,2100000,CB,CB,Italy,https://cdn.sofifa.net/players/245/566/23_60.png,,23,186,78,Genoa,2000,3800000,SUB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High,69,35,52,42
J. Þorsteinsson,Jón Dagur Þorsteinsson,67,,2100000,"CF,LM",CAM,Iceland,https://cdn.sofifa.net/players/241/474/23_60.png,,23,177,66,Oud-Heverlee Leuven,5000,3600000,LM,Right,Iceland,https://cdn.sofifa.net/flags/is.png,LW,11,High,Medium,80,61,62,55
S. Adewoye,Shawn Adewoye,67,,2100000,CB,CB,Belgium,https://cdn.sofifa.net/players/251/895/23_60.png,,22,181,81,RKC Waalwijk,2000,3500000,CB,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,Medium,68,24,44,30
K. Autonne,Kouame Autonne,67,,2100000,CB,CB,United Arab Emirates,https://cdn.sofifa.net/players/263/163/23_60.png,,21,186,85,Al Ain FC,500,5000000,CB,Left,-,https://cdn.sofifa.net/flags/ae.png,-,-,Medium,Medium,72,28,50,32
A. Seko,Ayumu Seko,67,,2100000,"CB,CDM",CB,Japan,https://cdn.sofifa.net/players/247/264/23_60.png,,22,183,72,Grasshopper Club Zürich,4000,3500000,CB,Right,-,https://cdn.sofifa.net/flags/jp.png,-,-,Medium,Medium,60,35,50,37
D. Agrón,David Agrón,67,,2100000,CB,CB,Colombia,https://cdn.sofifa.net/players/259/807/23_60.png,,21,182,74,La Equidad,550,3300000,CB,Left,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium,60,25,41,43
S. Chergui,Samir Chergui,67,,2100000,"CB,RB",CB,France,https://cdn.sofifa.net/players/248/477/23_60.png,,23,185,78,Paris FC,3000,4200000,CB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,53,43,61,40
M. Malone,Maurice Malone,67,,2100000,"LM,RM,ST",ST,Germany,https://cdn.sofifa.net/players/251/431/23_60.png,,21,187,87,RZ Pellets Wolfsberger AC,7000,0,ST,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Low,77,66,59,60
T. Keller,Thomas Keller,67,,2100000,"CB,CDM",CB,Germany,https://cdn.sofifa.net/players/251/289/23_60.png,,22,186,80,1. FC Heidenheim 1846,7000,3700000,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,63,42,56,39
K. Ehlers,Kevin Ehlers,67,,2100000,CB,CB,Germany,https://cdn.sofifa.net/players/251/405/23_60.png,,21,186,84,SG Dynamo Dresden,2000,3500000,CB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,63,29,51,35
J. Villagra,Jonathan Villagra,67,,2100000,CB,CB,Chile,https://cdn.sofifa.net/players/257/003/23_60.png,,21,183,69,Unión Española,1000,3300000,CB,Right,-,https://cdn.sofifa.net/flags/cl.png,-,-,Medium,High,66,24,43,32
E. Aiwu,Emanuel Aiwu,67,,2100000,"CB,CDM",CB,Austria,https://cdn.sofifa.net/players/243/442/23_60.png,,21,185,77,US Cremonese,3000,4200000,CB,Right,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium,70,42,54,34
P. Yade,Pape Ndiaga Yade,67,,2100000,"ST,LW,LWB",ST,Senegal,https://cdn.sofifa.net/players/251/916/23_60.png,,22,185,76,ESTAC Troyes,3000,0,SUB,Left,-,-,-,-,Medium,Medium,82,68,59,64
Alex Millán,Alejandro Millán Iranzo,67,,2100000,ST,ST,Spain,https://cdn.sofifa.net/players/260/086/23_60.png,,22,182,74,Futebol Clube de Famalicão,10000,0,ST,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Low,69,69,53,59
Aimar Oroz,Aimar Oroz Huarte,66,,2100000,"CAM,ST",CAM,Spain,https://cdn.sofifa.net/players/258/937/23_60.png,,20,177,73,CA Osasuna,6000,5700000,RES,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,67,64,68,58
N. Skyttä,Naatan Skyttä,66,,2100000,CAM,CAM,Finland,https://cdn.sofifa.net/players/263/343/23_60.png,,20,170,69,Viking FK,4000,0,CM,Left,-,https://cdn.sofifa.net/flags/fi.png,-,-,Medium,Medium,65,53,64,55
J. Sforza,Juan Sforza,66,,2100000,"CM,CDM",CM,Argentina,https://cdn.sofifa.net/players/258/289/23_60.png,,20,180,76,Newell's Old Boys,3000,4500000,CDM,Left,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,71,58,63,43
F. Lo Celso,Francesco Lo Celso,66,,2100000,"LM,CM,CAM",CAM,Argentina,https://cdn.sofifa.net/players/255/352/23_60.png,,22,175,60,Rosario Central,5000,3600000,SUB,Left,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,70,56,69,63
Mateus Fernandes,Mateus Gonçalo Espanha Fernandes,66,,2100000,"CM,CAM",CAM,Portugal,https://cdn.sofifa.net/players/270/857/23_60.png,,17,178,72,Sporting CP,500,5500000,RES,Right,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,Medium,75,56,66,64
J. Sarmiento,Jeremy Sarmiento,66,,2100000,"RM,LM",CAM,Ecuador,https://cdn.sofifa.net/players/263/522/23_60.png,,20,183,73,Brighton & Hove Albion,12000,5300000,RES,Right,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium,80,62,62,60
T. Doyle,Tommy Doyle,66,,2100000,"CM,CDM",CM,England,https://cdn.sofifa.net/players/254/120/23_60.png,,20,179,72,Sheffield United,20000,0,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High,65,62,68,56
G. Wagner,Guillermo Wagner,66,,2100000,"CM,RM",CM,Uruguay,https://cdn.sofifa.net/players/260/766/23_60.png,,20,187,64,Montevideo Wanderers,500,5800000,SUB,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium,59,62,62,59
M. Akliouche,Maghnes Akliouche,66,,2100000,CAM,CAM,France,https://cdn.sofifa.net/players/264/862/23_60.png,,20,175,63,AS Monaco,9000,5300000,SUB,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,74,59,64,57
Arnau,Arnau Puigmal Martínez,66,,2100000,"CAM,CM,RM",CAM,Spain,https://cdn.sofifa.net/players/242/369/23_60.png,,21,173,65,Unión Deportiva Almería,6000,5000000,RES,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,69,58,67,62
T. Richards,Taylor Richards,66,,2100000,"CAM,CM",CAM,England,https://cdn.sofifa.net/players/243/393/23_60.png,,21,180,78,Queens Park Rangers,12000,0,SUB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,73,62,63,64
S. Mulattieri,Samuele Mulattieri,66,,2100000,"ST,CF",ST,Italy,https://cdn.sofifa.net/players/243/200/23_60.png,,21,183,77,Frosinone,1000,4600000,SUB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,70,66,57,53
Jaume Cuéllar,Jaume Albert Cuéllar Mendoza,66,,2100000,"RM,LM",CAM,Bolivia,https://cdn.sofifa.net/players/257/719/23_60.png,,20,180,69,CD Lugo,2000,3700000,RM,Right,-,-,-,-,Medium,Medium,76,67,59,71
Borja Sainz,Borja Sainz Eguskiza,66,,2100000,"LM,RM",RM,Spain,https://cdn.sofifa.net/players/252/929/23_60.png,,21,178,75,GZT Giresunspor,3000,4500000,LM,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,77,52,60,63
Lautaro,Lautaro de León Billar,66,,2100000,ST,ST,Uruguay,https://cdn.sofifa.net/players/260/044/23_60.png,,21,185,77,RC Celta de Vigo,6000,4800000,SUB,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium,63,67,46,59
M. Braunöder,Matthias Braunöder,66,,2100000,"CM,CDM",RM,Austria,https://cdn.sofifa.net/players/258/505/23_60.png,,20,174,67,FK Austria Wien,5000,4400000,CDM,Right,-,https://cdn.sofifa.net/flags/at.png,-,-,High,High,77,47,66,48
T. Parrott,Troy Parrott,66,,2100000,"ST,RW",ST,Republic of Ireland,https://cdn.sofifa.net/players/245/902/23_60.png,,20,185,78,Preston North End,17000,0,ST,Right,Republic of Ireland,-,LW,10,High,High,75,64,58,59
Rodrigo Ribeiro,Rodrigo Duarte Ribeiro,66,,2100000,ST,ST,Portugal,https://cdn.sofifa.net/players/268/837/23_60.png,,17,185,72,Sporting CP,850,5500000,RES,Right,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium,73,65,49,70
M. Sangare,Mamadou Sangare,66,,2100000,"CAM,RM,ST",CAM,Mali,https://cdn.sofifa.net/players/258/601/23_60.png,,20,178,63,SV Zulte Waregem,6000,0,LM,Left,-,-,-,-,Medium,Medium,81,62,61,53
N. Ahamada,Naouirou Ahamada,66,,2100000,CM,CAM,France,https://cdn.sofifa.net/players/259/205/23_60.png,,20,183,73,VfB Stuttgart,5000,4200000,CM,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,69,50,63,49
J. Che,Justin Che,66,,2100000,"RWB,CB,RB",RWB,United States,https://cdn.sofifa.net/players/259/159/23_60.png,,18,185,79,TSG Hoffenheim,700,0,SUB,Right,-,https://cdn.sofifa.net/flags/us.png,-,-,High,High,73,26,56,25
G. Tapia,Gonzalo Tapia,66,,2100000,"RW,LW,ST",RW,Chile,https://cdn.sofifa.net/players/256/532/23_60.png,,20,177,73,Universidad Católica,3000,3400000,SUB,Right,-,https://cdn.sofifa.net/flags/cl.png,-,-,High,Medium,78,59,52,50
A. Amoo,Akinkunmi Amoo,66,,2100000,RM,CAM,Nigeria,https://cdn.sofifa.net/players/258/121/23_60.png,,20,163,68,F.C. København,5000,3200000,RES,Left,-,-,-,-,Medium,Medium,83,57,57,44
G. Kyeremeh,Godson Kyeremeh,66,,2100000,LM,RM,France,https://cdn.sofifa.net/players/253/074/23_60.png,,22,175,60,Stade Malherbe Caen,2000,4099999,SUB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,83,64,59,62
D. Doué,Désiré Doué,66,,2100000,CAM,CAM,France,https://cdn.sofifa.net/players/271/421/23_60.png,,17,181,79,Stade Rennais FC,2000,5300000,CM,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,78,59,60,56
M. Bogusz,Mateusz Bogusz,66,,2100000,"LM,CAM,RM",CAM,Poland,https://cdn.sofifa.net/players/247/351/23_60.png,,20,175,69,UD Ibiza,8000,0,SUB,Right,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Medium,70,64,65,59
T. Lemperle,Tim Lemperle,66,,2100000,"RM,LM,ST",RM,Germany,https://cdn.sofifa.net/players/256/564/23_60.png,,20,187,78,1. FC Köln,6000,5100000,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,71,63,59,55
L. Sigali,Leonardo Sigali,76,,2000000,CB,CB,Argentina,https://cdn.sofifa.net/players/215/135/23_60.png,,35,181,74,Racing Club,13000,3000000,CB,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,High,66,51,57,64
Germán,Germán Sánchez Barahona,76,,2000000,CB,CB,Spain,https://cdn.sofifa.net/players/198/230/23_60.png,,35,186,79,Racing Santander,7000,3100000,CB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,45,40,58,38
D. Siovas,Dimitrios Siovas,74,,2000000,CB,CB,Greece,https://cdn.sofifa.net/players/209/669/23_60.png,,33,191,83,Fortuna Sittard,13000,3000000,CB,Left,-,https://cdn.sofifa.net/flags/gr.png,-,-,Medium,High,33,44,54,40
T. Šunjić,Toni Šunjić,74,,2000000,CB,CB,Bosnia and Herzegovina,https://cdn.sofifa.net/players/201/343/23_60.png,,33,194,93,Henan Songshan Longmen FC,11000,3100000,CB,Right,-,-,-,-,Low,High,53,40,51,50
Murilo Sancha,Murilo Kaíque Sanches Cardoso,74,,2000000,"RM,CM",RM,Brazil,https://cdn.sofifa.net/players/230/422/23_60.png,,34,176,76,América Futebol Clube,16000,3800000,RM,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,78,67,69,65
T. Strobl,Tobias Strobl,73,,2000000,"CDM,CB",CDM,Germany,https://cdn.sofifa.net/players/207/894/23_60.png,,32,188,77,FC Augsburg,20000,3600000,RES,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,34,49,65,47
R. Delgado,Rafael Delgado,73,,2000000,"CB,LB",CB,Argentina,https://cdn.sofifa.net/players/216/036/23_60.png,,32,178,70,Club Atlético Colón,11000,3000000,SUB,Left,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium,82,65,70,68
S. Romagnoli,Simone Romagnoli,73,,2000000,CB,CB,Italy,https://cdn.sofifa.net/players/198/857/23_60.png,,32,193,85,Parma,5000,3200000,CB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Low,Medium,61,40,47,40
Freder Cabral,Frederico Peter Cabral Bardini,73,,2000000,GK,GK,Brazil,https://cdn.sofifa.net/players/230/175/23_60.png,,30,188,83,Clube Atlético Mineiro,20000,3600000,GK,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,73,77,69,13
Jo Hyeon Woo,Hyeon Woo Jo,73,,2000000,GK,GK,Korea Republic,https://cdn.sofifa.net/players/212/432/23_60.png,,30,189,75,Ulsan Hyundai FC,8000,2600000,GK,Right,-,-,-,-,Medium,Medium,73,70,62,19
F. Bardi,Francesco Bardi,73,,2000000,GK,GK,Italy,https://cdn.sofifa.net/players/193/786/23_60.png,,30,188,80,Bologna,18000,3400000,SUB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,75,71,65,21
V. Manceau,Vincent Manceau,73,,2000000,"CB,RB,RWB",CB,France,https://cdn.sofifa.net/players/189/946/23_60.png,,32,176,70,En Avant de Guingamp,7000,3500000,RWB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,42,47,69,58
André Simões,André Luís Gomes Simões,73,,2000000,"CDM,CM",CDM,Portugal,https://cdn.sofifa.net/players/224/075/23_60.png,,32,177,76,Futebol Clube de Famalicão,8000,4200000,CM,Right,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,High,72,67,70,65
C. Mathenia,Christian Mathenia,73,,2000000,GK,GK,Germany,https://cdn.sofifa.net/players/215/417/23_60.png,,30,190,89,1. FC Nürnberg,9000,3200000,GK,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,75,68,54,23
Lucas Souza,Lucas Vieira de Souza,73,,2000000,"CDM,CM",CDM,Brazil,https://cdn.sofifa.net/players/213/097/23_60.png,,32,186,80,Al Khaleej,11000,3300000,CM,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,56,70,63,48
N. Viergever,Nick Viergever,73,,2000000,CB,CB,Netherlands,https://cdn.sofifa.net/players/193/440/23_60.png,,32,183,77,FC Utrecht,13000,3000000,CB,Left,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,High,72,54,65,48
Y. Rodríguez,Yonathan Rodríguez,72,,2000000,"CDM,CM",CDM,Uruguay,https://cdn.sofifa.net/players/266/689/23_60.png,,29,175,72,Club Nacional de Football,650,4400000,CM,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium,67,56,68,57
Lucas Lima,Lucas Pedro Alves de Lima,72,,2000000,LB,LB,Brazil,https://cdn.sofifa.net/players/207/924/23_60.png,,30,178,72,İstanbul Başakşehir FK,23000,4000000,LB,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,72,57,71,56
D. Hovorka,David Hovorka,72,,2000000,CB,CB,Czech Republic,https://cdn.sofifa.net/players/240/033/23_60.png,,28,179,73,SK Slavia Praha,900,4400000,RES,Right,-,https://cdn.sofifa.net/flags/cz.png,-,-,Medium,High,65,39,63,36
A. Pulido,Alan Pulido,72,,2000000,ST,ST,Mexico,https://cdn.sofifa.net/players/192/930/23_60.png,,31,177,83,Sporting Kansas City,7000,2900000,RES,Right,-,https://cdn.sofifa.net/flags/mx.png,-,-,High,High,73,72,65,72
K. Laifis,Konstantinos Laifis,72,,2000000,CB,CB,Cyprus,https://cdn.sofifa.net/players/234/774/23_60.png,,29,186,84,Standard de Liège,12000,3000000,CB,Left,-,-,-,-,Medium,Medium,64,58,64,58
J. Price,Jack Price,72,,2000000,"CDM,CM",CDM,England,https://cdn.sofifa.net/players/205/585/23_60.png,,29,170,87,Colorado Rapids,6000,2900000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,47,51,74,50
F. Ferreyra,Facundo Ferreyra,72,,2000000,ST,ST,Argentina,https://cdn.sofifa.net/players/213/432/23_60.png,,31,186,76,Club Atlético Independiente,12000,3000000,ST,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Low,59,73,59,73
B. Perlaza,Baldomero Perlaza,72,,2000000,"CDM,CM",CB,Colombia,https://cdn.sofifa.net/players/226/747/23_60.png,,30,187,82,Club Atlético Colón,10000,3000000,CDM,Right,-,https://cdn.sofifa.net/flags/co.png,-,-,High,Medium,57,51,59,48
Elady,Eladio Zorrilla Jiménez,72,,2000000,"ST,LM,RM",ST,Spain,https://cdn.sofifa.net/players/244/667/23_60.png,,31,176,75,CD Tenerife,9000,3200000,ST,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,75,72,65,73
S. Denswil,Stefano Denswil,72,,2000000,"CB,LB",CB,Netherlands,https://cdn.sofifa.net/players/205/756/23_60.png,,29,188,82,Trabzonspor,23000,3800000,SUB,Left,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,High,57,56,67,61
A. Yiadom,Andy Yiadom,72,,2000000,"RWB,RB,CB",RWB,Ghana,https://cdn.sofifa.net/players/208/052/23_60.png,,30,180,75,Reading,14000,3800000,RWB,Right,Ghana,https://cdn.sofifa.net/flags/gh.png,RB,2,High,High,80,53,61,49
E. Durm,Erik Durm,72,,2000000,"RB,LB",RB,Germany,https://cdn.sofifa.net/players/207/920/23_60.png,,30,182,70,1. FC Kaiserslautern,9000,3100000,LB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,71,55,65,55
S. Kapino,Stefanos Kapino,72,,2000000,GK,GK,Greece,https://cdn.sofifa.net/players/205/878/23_60.png,,28,196,88,DSC Arminia Bielefeld,11000,3400000,SUB,Right,-,https://cdn.sofifa.net/flags/gr.png,-,-,Medium,Medium,73,67,66,26
A. Linde,Andreas Linde,72,,2000000,GK,GK,Sweden,https://cdn.sofifa.net/players/207/926/23_60.png,,28,196,93,SpVgg Greuther Fürth,7000,3400000,GK,Right,Sweden,https://cdn.sofifa.net/flags/se.png,SUB,12,Medium,Medium,75,68,66,23
M. Rangel,Michael Rangel,72,,2000000,ST,ST,Colombia,https://cdn.sofifa.net/players/214/350/23_60.png,,31,187,86,Club Deportes Tolima,4000,2800000,ST,Right,-,https://cdn.sofifa.net/flags/co.png,-,-,High,Low,54,76,59,82
Guto Milazar,Guto Ramón Milazar Coimbra,72,,2000000,LB,LB,Brazil,https://cdn.sofifa.net/players/230/260/23_60.png,,30,170,68,Flamengo,23000,3600000,SUB,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,73,40,61,51
M. Villanueva,Mikel Villanueva,72,,2000000,CB,CB,Venezuela,https://cdn.sofifa.net/players/233/329/23_60.png,,29,192,79,Vitória de Guimarães,8000,4200000,CB,Left,-,https://cdn.sofifa.net/flags/ve.png,-,-,Low,High,64,40,59,38
J. Robinson,Jack Robinson,72,,2000000,"CB,LB",CB,England,https://cdn.sofifa.net/players/199/027/23_60.png,,28,180,67,Sheffield United,20000,3800000,SUB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,69,41,60,43
D. Dąbrowski,Damian Dąbrowski,72,,2000000,CDM,CDM,Poland,https://cdn.sofifa.net/players/198/046/23_60.png,,29,182,81,Pogoń Szczecin,8000,2700000,CDM,Right,-,https://cdn.sofifa.net/flags/pl.png,-,-,High,High,70,56,68,51
S. Memišević,Samir Memišević,72,,2000000,"CB,CM,CDM",CB,Bosnia and Herzegovina,https://cdn.sofifa.net/players/235/544/23_60.png,,28,186,76,Beijing Guoan FC,14000,3100000,CDM,Right,-,-,-,-,Low,High,59,50,55,60
L. Crisetig,Lorenzo Crisetig,72,,2000000,"CDM,CM",CDM,Italy,https://cdn.sofifa.net/players/197/926/23_60.png,,29,184,80,Urbs Reggina 1914,3000,3100000,CDM,Left,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,49,58,68,59
A. Jung,Anthony Jung,72,,2000000,"LWB,CB",LWB,Germany,https://cdn.sofifa.net/players/207/897/23_60.png,,30,185,81,SV Werder Bremen,16000,3600000,LWB,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,66,60,66,50
Vieiraldo Junior,Durval Hélton Vieira Aldair,72,,2000000,"CDM,LB",CB,Brazil,https://cdn.sofifa.net/players/230/441/23_60.png,,30,180,79,Atlético Clube Goianiense,10000,3800000,SUB,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,68,45,62,40
P. Bauer,Patrick Bauer,72,,2000000,CB,CB,Germany,https://cdn.sofifa.net/players/204/496/23_60.png,,29,192,88,Preston North End,23000,3800000,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,32,45,53,52
F. Tardieu,Florian Tardieu,72,,2000000,"CDM,CM",CDM,France,https://cdn.sofifa.net/players/209/618/23_60.png,,30,184,70,ESTAC Troyes,13000,4000000,CM,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,48,63,70,72
M. Eikrem,Magnus Wolff Eikrem,72,,2000000,"CF,CAM",CAM,Norway,https://cdn.sofifa.net/players/153/048/23_60.png,,31,184,69,Molde FK,6000,2500000,ST,Right,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,Low,64,69,76,61
Flávio Rebeilo,Flávio Raphael Rebeilo Mestres,72,,2000000,LB,LB,Brazil,https://cdn.sofifa.net/players/230/350/23_60.png,,30,175,69,Santos,17000,3800000,SUB,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,79,44,61,55
